Prefixo do veiculo,Data de entrada do veiculo na frota,Quantidade de lugares sentados disponiveis,Linha associada ao veiculo,Modelo do veiculo,Categoria do veiculo
DN020,2002-12-18,18,560,MARCOPOLO SENIOR,MICRO
DA012,2002-12-18,29,336,MARCOPOLO TORINO GV,COMUM
KB499,2003-01-16,32,509,MARCOPOLO VIALE,PADRON
*R406,2004-03-18,41,216,MARCOPOLO TORINO GV,ARTICULADO
DN600,2004-10-07,22,463,NEOBUS SPECTRUM,MICROESPECIAL
DA014,2004-11-17,30,321,MARCOPOLO TORINO GV,COMUM
DA013,2004-11-17,30,338,MARCOPOLO TORINO GV,COMUM
DA015,2004-11-17,30,323,MARCOPOLO TORINO GVU,COMUM
DA020,2004-12-30,32,335,MARCOPOLO VIALE,COMUM
DA019,2004-12-30,32,332,MARCOPOLO VIALE,COMUM
DN602,2005-10-06,23,463,NEOBUS SPECTRUM,MICROESPECIAL
DN606,2005-10-06,23,308,NEOBUS SPECTRUM,MICROESPECIAL
DN601,2005-10-06,23,461,NEOBUS SPECTRUM,MICROESPECIAL
DN604,2005-10-06,23,387,NEOBUS SPECTRUM,MICROESPECIAL
DN605,2005-10-06,23,463,NEOBUS SPECTRUM,MICROESPECIAL
MA003,2006-02-09,31,924,MARCOPOLO TORINO GV,COMUM
MC076,2006-02-09,30,972,MARCOPOLO TORINO GV,COMUM
MC078,2006-02-09,30,972,MARCOPOLO TORINO GV,COMUM
MA002,2006-02-09,31,821,MARCOPOLO TORINO GV,COMUM
DA022,2006-07-26,32,323,MARCOPOLO VIALE,COMUM
DA023,2006-07-26,30,336,MARCOPOLO VIALE,COMUM
DN400,2006-08-31,19,516,NEOBUS SPECTRUM,MICROESPECIAL
DA298,2006-08-31,30,322,MARCOPOLO VIALE,COMUM
DA299,2006-08-31,30,338,MARCOPOLO VIALE,COMUM
DA291,2006-08-31,30,513,MARCOPOLO VIALE,COMUM
DA292,2006-08-31,30,332,MARCOPOLO VIALE,COMUM
DA295,2006-08-31,30,338,MARCOPOLO VIALE,COMUM
EA183,2006-08-31,30,519,MARCOPOLO VIALE,COMUM
GD343,2006-12-29,47,603,CAIO MILLENNIUM II,BIARTICULADO
GD348,2007-01-15,47,603,CAIO MILLENNIUM II,BIARTICULADO
GD350,2007-01-15,47,502,NULO,BIARTICULADO
MR106,2007-05-31,43,021,MARCOPOLO VIALE,ARTICULADO
EA184,2007-09-28,31,549,MARCOPOLO VIALE,COMUM
*R800,2007-10-31,43,023,BUSSCAR URBANUSS,ARTICULADO
*R407,2007-10-31,39,335,BUSSCAR URBANUSS,ARTICULADO
DN609,2007-10-31,19,466,NEOBUS SPECTRUM,MICROESPECIAL
*R408,2007-11-21,39,216,BUSSCAR URBANUSS,ARTICULADO
ML499,2007-11-30,33,902,MARCOPOLO VIALE,PADRON
ML313,2007-12-28,31,307,CAIO MILLENNIUM II,PADRON
HR407,NULO,38,650,BUSSCAR URBANUSS,ARTICULADO
HR408,2008-05-29,38,772,BUSSCAR URBANUSS,ARTICULADO
BL494,2008-08-06,31,023,BUSSCAR URBANUSS,PADRON
MR800,2008-08-19,42,023,BUSSCAR URBANUSS,ARTICULADO
CA012,2008-08-12,29,222,NULO,COMUM
HR117,2008-08-29,38,040,BUSSCAR URBANUSS,ARTICULADO
HL117,2008-08-29,31,NULO,BUSSCAR URBANUSS,PADRON
HR413,2008-08-29,45,650,BUSSCAR URBANUSS,ARTICULADO
